age,systolic,diastolic,heart_rate,respiration_rate,allow_ride,suggestion
50,126,85,50,86,YES,"Always bring your water. Get enough rest before your Long Ride.
Don't forget to bring your medicine kit."
51,126,85,50,86,YES,"Always bring your water. Get enough rest before your Long Ride.
Don't forget to bring your medicine kit."
52,126,85,50,86,YES,"Always bring your water. Get enough rest before your Long Ride.
Don't forget to bring your medicine kit."
53,126,85,50,86,YES,"Always bring your water. Get enough rest before your Long Ride.
Don't forget to bring your medicine kit."
54,127,85,50,86,YES,"Always bring your water. Get enough rest before your Long Ride.
Don't forget to bring your medicine kit."
55,127,86,50,86,YES,"Always bring your water. Get enough rest before your Long Ride.
Don't forget to bring your medicine kit."
56,127,86,50,86,YES,"Always bring your water. Get enough rest before your Long Ride.
Don't forget to bring your medicine kit."
57,128,86,50,86,YES,"Always bring your water. Get enough rest before your Long Ride.
Don't forget to bring your medicine kit."
58,129,86,50,86,YES,"Always bring your water. Get enough rest before your Long Ride.
Don't forget to bring your medicine kit."
59,129,86,50,86,YES,"Always bring your water. Get enough rest before your Long Ride.
Don't forget to bring your medicine kit."
60,130,87,50,86,YES,"Always bring your water. Get enough rest before your Long Ride.
Don't forget to bring your medicine kit."
61,130,87,50,86,YES,"Always bring your water. Get enough rest before your Long Ride.
Don't forget to bring your medicine kit."
62,131,87,50,86,YES,"Always bring your water. Get enough rest before your Long Ride.
Don't forget to bring your medicine kit."
63,132,87,50,86,YES,"Always bring your water. Get enough rest before your Long Ride.
Don't forget to bring your medicine kit."
64,133,87,50,86,YES,"Always bring your water. Get enough rest before your Long Ride.
Don't forget to bring your medicine kit."
